Unnamed: 0,image_path,label
65000,./img_align_celeba/065001.jpg,1463
65001,./img_align_celeba/065002.jpg,8288
65002,./img_align_celeba/065003.jpg,6100
65003,./img_align_celeba/065004.jpg,6353
65004,./img_align_celeba/065005.jpg,3026
65005,./img_align_celeba/065006.jpg,8386
65006,./img_align_celeba/065007.jpg,4002
65007,./img_align_celeba/065008.jpg,3758
65008,./img_align_celeba/065009.jpg,82
65009,./img_align_celeba/065010.jpg,1156
65010,./img_align_celeba/065011.jpg,7969
65011,./img_align_celeba/065012.jpg,224
65012,./img_align_celeba/065013.jpg,7205
65013,./img_align_celeba/065014.jpg,1854
65014,./img_align_celeba/065015.jpg,6133
65015,./img_align_celeba/065016.jpg,8329
65016,./img_align_celeba/065017.jpg,7653
65017,./img_align_celeba/065018.jpg,10043
65018,./img_align_celeba/065019.jpg,4475
65019,./img_align_celeba/065020.jpg,1496
65020,./img_align_celeba/065021.jpg,1181
65021,./img_align_celeba/065022.jpg,1472
65022,./img_align_celeba/065023.jpg,1890
65023,./img_align_celeba/065024.jpg,7152
65024,./img_align_celeba/065025.jpg,768
65025,./img_align_celeba/065026.jpg,1585
65026,./img_align_celeba/065027.jpg,1684
65027,./img_align_celeba/065028.jpg,8769
65028,./img_align_celeba/065029.jpg,3477
65029,./img_align_celeba/065030.jpg,1412
65030,./img_align_celeba/065031.jpg,4928
65031,./img_align_celeba/065032.jpg,2697
65032,./img_align_celeba/065033.jpg,9346
65033,./img_align_celeba/065034.jpg,1699
65034,./img_align_celeba/065035.jpg,2113
65035,./img_align_celeba/065036.jpg,9150
65036,./img_align_celeba/065037.jpg,7081
65037,./img_align_celeba/065038.jpg,728
65038,./img_align_celeba/065039.jpg,2857
65039,./img_align_celeba/065040.jpg,9730
65040,./img_align_celeba/065041.jpg,10051
65041,./img_align_celeba/065042.jpg,6523
65042,./img_align_celeba/065043.jpg,818
65043,./img_align_celeba/065044.jpg,1586
65044,./img_align_celeba/065045.jpg,8655
65045,./img_align_celeba/065046.jpg,563
65046,./img_align_celeba/065047.jpg,9910
65047,./img_align_celeba/065048.jpg,7478
65048,./img_align_celeba/065049.jpg,7394
65049,./img_align_celeba/065050.jpg,5645
65050,./img_align_celeba/065051.jpg,6111
65051,./img_align_celeba/065052.jpg,4569
65052,./img_align_celeba/065053.jpg,1947
65053,./img_align_celeba/065054.jpg,9944
65054,./img_align_celeba/065055.jpg,7142
65055,./img_align_celeba/065056.jpg,3900
65056,./img_align_celeba/065057.jpg,9709
65057,./img_align_celeba/065058.jpg,1246
65058,./img_align_celeba/065059.jpg,5983
65059,./img_align_celeba/065060.jpg,4419
65060,./img_align_celeba/065061.jpg,7119
65061,./img_align_celeba/065062.jpg,5749
65062,./img_align_celeba/065063.jpg,1694
65063,./img_align_celeba/065064.jpg,714
65064,./img_align_celeba/065065.jpg,5660
65065,./img_align_celeba/065066.jpg,5400
65066,./img_align_celeba/065067.jpg,3175
65067,./img_align_celeba/065068.jpg,8784
65068,./img_align_celeba/065069.jpg,10016
65069,./img_align_celeba/065070.jpg,174
65070,./img_align_celeba/065071.jpg,8874
65071,./img_align_celeba/065072.jpg,5350
65072,./img_align_celeba/065073.jpg,6337
65073,./img_align_celeba/065074.jpg,8669
65074,./img_align_celeba/065075.jpg,2730
65075,./img_align_celeba/065076.jpg,517
65076,./img_align_celeba/065077.jpg,501
65077,./img_align_celeba/065078.jpg,4593
65078,./img_align_celeba/065079.jpg,5414
65079,./img_align_celeba/065080.jpg,5652
65080,./img_align_celeba/065081.jpg,8811
65081,./img_align_celeba/065082.jpg,6291
65082,./img_align_celeba/065083.jpg,6736
65083,./img_align_celeba/065084.jpg,3231
65084,./img_align_celeba/065085.jpg,7647
65085,./img_align_celeba/065086.jpg,1868
65086,./img_align_celeba/065087.jpg,2300
65087,./img_align_celeba/065088.jpg,3118
65088,./img_align_celeba/065089.jpg,4039
65089,./img_align_celeba/065090.jpg,2964
65090,./img_align_celeba/065091.jpg,5283
65091,./img_align_celeba/065092.jpg,6452
65092,./img_align_celeba/065093.jpg,363
65093,./img_align_celeba/065094.jpg,8933
65094,./img_align_celeba/065095.jpg,6989
65095,./img_align_celeba/065096.jpg,6059
65096,./img_align_celeba/065097.jpg,257
65097,./img_align_celeba/065098.jpg,2181
65098,./img_align_celeba/065099.jpg,9151
65099,./img_align_celeba/065100.jpg,4928
65100,./img_align_celeba/065101.jpg,8274
65101,./img_align_celeba/065102.jpg,5360
65102,./img_align_celeba/065103.jpg,1966
65103,./img_align_celeba/065104.jpg,5566
65104,./img_align_celeba/065105.jpg,5672
65105,./img_align_celeba/065106.jpg,4393
65106,./img_align_celeba/065107.jpg,10175
65107,./img_align_celeba/065108.jpg,4827
65108,./img_align_celeba/065109.jpg,3333
65109,./img_align_celeba/065110.jpg,2560
65110,./img_align_celeba/065111.jpg,3867
65111,./img_align_celeba/065112.jpg,8805
65112,./img_align_celeba/065113.jpg,416
65113,./img_align_celeba/065114.jpg,2018
65114,./img_align_celeba/065115.jpg,7075
65115,./img_align_celeba/065116.jpg,622
65116,./img_align_celeba/065117.jpg,3056
65117,./img_align_celeba/065118.jpg,7856
65118,./img_align_celeba/065119.jpg,384
65119,./img_align_celeba/065120.jpg,8401
65120,./img_align_celeba/065121.jpg,259
65121,./img_align_celeba/065122.jpg,1614
65122,./img_align_celeba/065123.jpg,8811
65123,./img_align_celeba/065124.jpg,2403
65124,./img_align_celeba/065125.jpg,5207
65125,./img_align_celeba/065126.jpg,5302
65126,./img_align_celeba/065127.jpg,9944
65127,./img_align_celeba/065128.jpg,384
65128,./img_align_celeba/065129.jpg,5700
65129,./img_align_celeba/065130.jpg,6089
65130,./img_align_celeba/065131.jpg,4236
65131,./img_align_celeba/065132.jpg,9616
65132,./img_align_celeba/065133.jpg,1040
65133,./img_align_celeba/065134.jpg,8086
65134,./img_align_celeba/065135.jpg,10038
65135,./img_align_celeba/065136.jpg,1062
65136,./img_align_celeba/065137.jpg,3883
65137,./img_align_celeba/065138.jpg,2179
65138,./img_align_celeba/065139.jpg,8741
65139,./img_align_celeba/065140.jpg,8148
65140,./img_align_celeba/065141.jpg,8248
65141,./img_align_celeba/065142.jpg,10009
65142,./img_align_celeba/065143.jpg,3723
65143,./img_align_celeba/065144.jpg,8528
65144,./img_align_celeba/065145.jpg,226
65145,./img_align_celeba/065146.jpg,8229
65146,./img_align_celeba/065147.jpg,4315
65147,./img_align_celeba/065148.jpg,3880
65148,./img_align_celeba/065149.jpg,9682
65149,./img_align_celeba/065150.jpg,679
65150,./img_align_celeba/065151.jpg,4639
65151,./img_align_celeba/065152.jpg,7422
65152,./img_align_celeba/065153.jpg,7352
65153,./img_align_celeba/065154.jpg,8797
65154,./img_align_celeba/065155.jpg,9473
65155,./img_align_celeba/065156.jpg,2390
65156,./img_align_celeba/065157.jpg,9145
65157,./img_align_celeba/065158.jpg,954
65158,./img_align_celeba/065159.jpg,2017
65159,./img_align_celeba/065160.jpg,10137
65160,./img_align_celeba/065161.jpg,3790
65161,./img_align_celeba/065162.jpg,3009
65162,./img_align_celeba/065163.jpg,9241
65163,./img_align_celeba/065164.jpg,8914
65164,./img_align_celeba/065165.jpg,3736
65165,./img_align_celeba/065166.jpg,8897
65166,./img_align_celeba/065167.jpg,6648
65167,./img_align_celeba/065168.jpg,7640
65168,./img_align_celeba/065169.jpg,23
65169,./img_align_celeba/065170.jpg,2562
65170,./img_align_celeba/065171.jpg,7339
65171,./img_align_celeba/065172.jpg,845
65172,./img_align_celeba/065173.jpg,1035
65173,./img_align_celeba/065174.jpg,8783
65174,./img_align_celeba/065175.jpg,3640
65175,./img_align_celeba/065176.jpg,4563
65176,./img_align_celeba/065177.jpg,6214
65177,./img_align_celeba/065178.jpg,2516
65178,./img_align_celeba/065179.jpg,9648
65179,./img_align_celeba/065180.jpg,862
65180,./img_align_celeba/065181.jpg,6616
65181,./img_align_celeba/065182.jpg,9681
65182,./img_align_celeba/065183.jpg,3792
65183,./img_align_celeba/065184.jpg,977
65184,./img_align_celeba/065185.jpg,8904
65185,./img_align_celeba/065186.jpg,7917
65186,./img_align_celeba/065187.jpg,7968
65187,./img_align_celeba/065188.jpg,5200
65188,./img_align_celeba/065189.jpg,7756
65189,./img_align_celeba/065190.jpg,1452
65190,./img_align_celeba/065191.jpg,6876
65191,./img_align_celeba/065192.jpg,3542
65192,./img_align_celeba/065193.jpg,7549
65193,./img_align_celeba/065194.jpg,7222
65194,./img_align_celeba/065195.jpg,7676
65195,./img_align_celeba/065196.jpg,3497
65196,./img_align_celeba/065197.jpg,6234
65197,./img_align_celeba/065198.jpg,8236
65198,./img_align_celeba/065199.jpg,8650
65199,./img_align_celeba/065200.jpg,8650
65200,./img_align_celeba/065201.jpg,8582
65201,./img_align_celeba/065202.jpg,6322
65202,./img_align_celeba/065203.jpg,5414
65203,./img_align_celeba/065204.jpg,4112
65204,./img_align_celeba/065205.jpg,9984
65205,./img_align_celeba/065206.jpg,9446
65206,./img_align_celeba/065207.jpg,199
65207,./img_align_celeba/065208.jpg,9700
65208,./img_align_celeba/065209.jpg,8785
65209,./img_align_celeba/065210.jpg,163
65210,./img_align_celeba/065211.jpg,2079
65211,./img_align_celeba/065212.jpg,5090
65212,./img_align_celeba/065213.jpg,8335
65213,./img_align_celeba/065214.jpg,3725
65214,./img_align_celeba/065215.jpg,1811
65215,./img_align_celeba/065216.jpg,7011
65216,./img_align_celeba/065217.jpg,2061
65217,./img_align_celeba/065218.jpg,8447
65218,./img_align_celeba/065219.jpg,806
65219,./img_align_celeba/065220.jpg,9787
65220,./img_align_celeba/065221.jpg,2438
65221,./img_align_celeba/065222.jpg,9960
65222,./img_align_celeba/065223.jpg,2150
65223,./img_align_celeba/065224.jpg,6077
65224,./img_align_celeba/065225.jpg,1300
65225,./img_align_celeba/065226.jpg,4920
65226,./img_align_celeba/065227.jpg,3270
65227,./img_align_celeba/065228.jpg,9347
65228,./img_align_celeba/065229.jpg,3858
65229,./img_align_celeba/065230.jpg,5198
65230,./img_align_celeba/065231.jpg,2069
65231,./img_align_celeba/065232.jpg,9664
65232,./img_align_celeba/065233.jpg,7928
65233,./img_align_celeba/065234.jpg,5646
65234,./img_align_celeba/065235.jpg,10072
65235,./img_align_celeba/065236.jpg,5204
65236,./img_align_celeba/065237.jpg,1145
65237,./img_align_celeba/065238.jpg,5021
65238,./img_align_celeba/065239.jpg,5085
65239,./img_align_celeba/065240.jpg,2591
65240,./img_align_celeba/065241.jpg,3926
65241,./img_align_celeba/065242.jpg,1326
65242,./img_align_celeba/065243.jpg,742
65243,./img_align_celeba/065244.jpg,1223
65244,./img_align_celeba/065245.jpg,6480
65245,./img_align_celeba/065246.jpg,5048
65246,./img_align_celeba/065247.jpg,7534
65247,./img_align_celeba/065248.jpg,6969
65248,./img_align_celeba/065249.jpg,3578
65249,./img_align_celeba/065250.jpg,6247
65250,./img_align_celeba/065251.jpg,792
65251,./img_align_celeba/065252.jpg,1127
65252,./img_align_celeba/065253.jpg,8594
65253,./img_align_celeba/065254.jpg,8507
65254,./img_align_celeba/065255.jpg,2684
65255,./img_align_celeba/065256.jpg,8513
65256,./img_align_celeba/065257.jpg,9515
65257,./img_align_celeba/065258.jpg,6277
65258,./img_align_celeba/065259.jpg,3746
65259,./img_align_celeba/065260.jpg,8225
65260,./img_align_celeba/065261.jpg,8510
65261,./img_align_celeba/065262.jpg,7744
65262,./img_align_celeba/065263.jpg,9675
65263,./img_align_celeba/065264.jpg,9287
65264,./img_align_celeba/065265.jpg,9155
65265,./img_align_celeba/065266.jpg,9322
65266,./img_align_celeba/065267.jpg,8511
65267,./img_align_celeba/065268.jpg,6908
65268,./img_align_celeba/065269.jpg,6479
65269,./img_align_celeba/065270.jpg,4472
65270,./img_align_celeba/065271.jpg,1939
65271,./img_align_celeba/065272.jpg,7586
65272,./img_align_celeba/065273.jpg,2945
65273,./img_align_celeba/065274.jpg,14
65274,./img_align_celeba/065275.jpg,9101
65275,./img_align_celeba/065276.jpg,8977
65276,./img_align_celeba/065277.jpg,1478
65277,./img_align_celeba/065278.jpg,6663
65278,./img_align_celeba/065279.jpg,306
65279,./img_align_celeba/065280.jpg,8816
